medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Gold Medal,1,2024-08-03,GREAT BRITAIN,GBR,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------,ROWMCOXED8--GBR01
Silver Medal,2,2024-08-03,NETHERLANDS,NED,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------,ROWMCOXED8--NED01
Bronze Medal,3,2024-08-03,UNITED STATES,USA,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------,ROWMCOXED8--USA01
Gold Medal,1,2024-08-03,OLIVER ZEIDLER,GER,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------,1906515
Silver Medal,2,2024-08-03,YAUHENI ZALATY,AIN,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------,1538160
Bronze Medal,3,2024-08-03,SIMON VAN DORP,NED,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------,1965599
Gold Medal,1,2024-08-03,ROMANIA,ROU,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------,ROWWCOXED8--ROU01
Silver Medal,2,2024-08-03,CANADA,CAN,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------,ROWWCOXED8--CAN01
Bronze Medal,3,2024-08-03,GREAT BRITAIN,GBR,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------,ROWWCOXED8--GBR01
Gold Medal,1,2024-08-03,KAROLIEN FLORIJN,NED,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------,1965558
Silver Medal,2,2024-08-03,EMMA TWIGG,NZL,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------,1927027
Bronze Medal,3,2024-08-03,VIKTORIJA SENKUTE,LTU,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------,1941956
Gold Medal,1,2024-08-03,TOM REUVENY,ISR,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--,1927680
