start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-09 17:51:00.000,2024-08-09 17:57:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group B,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpb-000600--
2024-08-09 17:57:00.000,2024-08-09 18:03:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group C,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpc-000500--
2024-08-09 18:00:00.000,2024-08-09 19:45:00.000,2024-08-09,FINISHED,Football,FBL,Men,1,Men's Finals,M,HTEAM,Parc des Princes,PDP,"Parc des Princes, Paris",PDP,/en/paris-2024/results/football/men/fnl-000100--
2024-08-09 18:00:00.000,2024-08-09 19:25:00.000,2024-08-09,FINISHED,Water Polo,WPO,Men,0,Men's Classification 5th-8th,M,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/men/sf5-000100--
2024-08-09 18:03:00.000,2024-08-09 18:09:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group C,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpc-000600--
2024-08-09 18:09:00.000,2024-08-09 18:15:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group D,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpd-000500--
2024-08-09 18:15:00.000,2024-08-09 18:21:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group D,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpd-000600--
2024-08-09 18:21:00.000,2024-08-09 18:27:00.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group A,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpa-000500--
2024-08-09 18:27:00.000,2024-08-09 18:36:20.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Round Robin - Group A,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/gpa-000600--
2024-08-09 19:30:00.000,2024-08-09 21:13:00.000,2024-08-09,FINISHED,Artistic Swimming,SWA,Duet,0,Duet Final,W,COUP,Aquatics Centre,AQC,Aquatics Centre,AQC,/en/paris-2024/results/artistic-swimming/duet/fnl-000200--
2024-08-09 19:35:00.000,2024-08-09 21:00:00.000,2024-08-09,FINISHED,Water Polo,WPO,Men,0,Men's Semifinals,M,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/men/sfnl000200--
2024-08-09 19:40:00.000,2024-08-09 19:53:00.000,2024-08-09,FINISHED,Taekwondo,TKW,Men -80kg,0,Men -80kg Repechages,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--80kg/rep1000200--
2024-08-09 20:00:00.000,2024-08-09 20:07:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Quarterfinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/qfnl000100--
2024-08-09 20:00:00.000,2024-08-09 22:10:00.000,2024-08-09,FINISHED,Hockey,HOC,Women,1,Women's Finals,W,HTEAM,Yves-du-Manoir Stadium,YDM,Yves-du-Manoir Stadium - Pitch 1,HO1,/en/paris-2024/results/hockey/women/fnl-000100--
2024-08-09 20:06:00.000,2024-08-09 20:19:00.000,2024-08-09,FINISHED,Taekwondo,TKW,Men -80kg,0,Men -80kg Repechages,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--80kg/rep1000300--
2024-08-09 20:07:00.000,2024-08-09 20:14:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Quarterfinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/qfnl000200--
2024-08-09 20:15:00.000,2024-08-09 20:22:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Quarterfinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/qfnl000300--
2024-08-09 20:23:00.000,2024-08-09 20:30:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Quarterfinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/qfnl000400--
